Date,team1,team2
2019-04-17,DET,PIT
2019-04-18,MIL,LAD
2019-04-18,KCR,NYY
2019-04-18,TOR,MIN
2019-04-18,ARI,ATL
2019-04-18,BAL,TBR
2019-04-18,SFG,WSN
2019-04-18,COL,PHI
2019-04-18,SDP,CIN
2019-04-18,DET,CHW
2019-04-18,SEA,LAA
2019-04-19,TEX,HOU
2019-04-19,MIL,LAD
2019-04-19,KCR,NYY
2019-04-19,TOR,OAK
2019-04-19,BOS,TBR
2019-04-19,MIA,WSN
2019-04-19,NYM,STL
2019-04-19,CHC,ARI
2019-04-19,COL,PHI
2019-04-19,PIT,SFG
2019-04-19,SDP,CIN
2019-04-19,DET,CHW
2019-04-19,SEA,LAA
2019-04-20,TEX,HOU
2019-04-20,MIL,LAD
2019-04-20,KCR,NYY
2019-04-20,BAL,MIN
2019-04-20,BAL,MIN
2019-04-20,CLE,ATL
2019-04-20,CLE,ATL
2019-04-20,TOR,OAK
2019-04-20,BOS,TBR
2019-04-20,MIA,WSN
2019-04-20,NYM,STL
2019-04-20,CHC,ARI
2019-04-20,COL,PHI
2019-04-20,PIT,SFG
2019-04-20,SDP,CIN
2019-04-20,SEA,LAA
2019-04-21,TEX,HOU
2019-04-21,MIL,LAD
2019-04-21,KCR,NYY
2019-04-21,BAL,MIN
2019-04-21,CLE,ATL
2019-04-21,TOR,OAK
2019-04-21,BOS,TBR
2019-04-21,MIA,WSN
2019-04-21,NYM,STL
2019-04-21,CHC,ARI
2019-04-21,COL,PHI
2019-04-21,PIT,SFG
2019-04-21,SDP,CIN
2019-04-21,DET,CHW
2019-04-21,SEA,LAA
2019-04-22,MIN,HOU
2019-04-22,LAA,NYY
2019-04-22,TEX,OAK
2019-04-22,KCR,TBR
2019-04-22,COL,WSN
2019-04-22,MIL,STL
2019-04-22,PHI,NYM
2019-04-22,PIT,ARI
2019-04-22,BAL,CHW
2019-04-23,MIN,HOU
2019-04-23,CHC,LAD
2019-04-23,LAA,NYY
2019-04-23,CIN,ATL
2019-04-23,TEX,OAK
2019-04-23,KCR,TBR
2019-04-23,MIA,CLE
2019-04-23,COL,WSN
2019-04-23,MIL,STL
2019-04-23,PHI,NYM
2019-04-23,PIT,ARI
2019-04-23,DET,BOS
2019-04-23,DET,BOS
2019-04-23,TOR,SFG
2019-04-23,BAL,CHW
2019-04-23,SEA,SDP
2019-04-24,MIN,HOU
2019-04-24,CHC,LAD
2019-04-24,LAA,NYY
2019-04-24,CIN,ATL
2019-04-24,TEX,OAK
2019-04-24,KCR,TBR
2019-04-24,MIA,CLE
2019-04-24,COL,WSN
2019-04-24,MIL,STL
2019-04-24,PHI,NYM
2019-04-24,PIT,ARI
2019-04-24,DET,BOS
2019-04-24,TOR,SFG
2019-04-24,BAL,CHW
2019-04-24,SEA,SDP
2019-04-25,CLE,HOU
2019-04-25,CHC,LAD
2019-04-25,LAA,NYY
2019-04-25,CIN,ATL
2019-04-25,PIT,ARI
2019-04-25,DET,BOS
2019-04-25,MIA,PHI
2019-04-25,SEA,TEX
2019-04-26,CLE,HOU
2019-04-26,PIT,LAD
2019-04-26,SFG,NYY
2019-04-26,BAL,MIN
2019-04-26,COL,ATL
2019-04-26,TOR,OAK
2019-04-26,SDP,WSN
2019-04-26,CIN,STL
2019-04-26,NYM,MIL
2019-04-26,CHC,ARI
2019-04-26,MIA,PHI
2019-04-26,SEA,TEX
2019-04-26,DET,CHW
2019-04-26,KCR,LAA
2019-04-27,CLE,HOU
2019-04-27,PIT,LAD
2019-04-27,SFG,NYY
2019-04-27,BAL,MIN
2019-04-27,COL,ATL
2019-04-27,TOR,OAK
2019-04-27,BOS,TBR
2019-04-27,SDP,WSN
2019-04-27,CIN,STL
2019-04-27,NYM,MIL
2019-04-27,CHC,ARI
2019-04-27,MIA,PHI
2019-04-27,SEA,TEX
2019-04-27,KCR,LAA
2019-04-28,CLE,HOU
2019-04-28,PIT,LAD
2019-04-28,SFG,NYY
2019-04-28,BAL,MIN
2019-04-28,COL,ATL
2019-04-28,TOR,OAK
2019-04-28,BOS,TBR
2019-04-28,SDP,WSN
2019-04-28,CIN,STL
2019-04-28,NYM,MIL
2019-04-28,CHC,ARI
2019-04-28,MIA,PHI
2019-04-28,SEA,TEX
2019-04-28,DET,CHW
2019-04-28,KCR,LAA
2019-04-29,MIN,HOU
2019-04-29,SFG,LAD
2019-04-29,SDP,ATL
2019-04-29,BOS,OAK
2019-04-29,KCR,TBR
2019-04-29,STL,WSN
2019-04-29,COL,MIL
2019-04-29,CIN,NYM
2019-04-29,BAL,CHW
2019-04-30,MIN,HOU
2019-04-30,SFG,LAD
2019-04-30,ARI,NYY
2019-04-30,SDP,ATL
2019-04-30,BOS,OAK
2019-04-30,MIA,CLE
2019-04-30,STL,WSN
2019-04-30,COL,MIL
2019-04-30,CIN,NYM
2019-04-30,SEA,CHC
2019-04-30,DET,PHI
2019-04-30,PIT,TEX
2019-04-30,TOR,LAA
2019-05-01,MIN,HOU
2019-05-01,SFG,LAD
2019-05-01,ARI,NYY
2019-05-01,SDP,ATL
2019-05-01,BOS,OAK
2019-05-01,KCR,TBR
2019-05-01,KCR,TBR
2019-05-01,MIA,CLE
2019-05-01,STL,WSN
2019-05-01,COL,MIL
2019-05-01,CIN,NYM
2019-05-01,SEA,CHC
2019-05-01,DET,PHI
2019-05-01,PIT,TEX
2019-05-01,BAL,CHW
2019-05-01,BAL,CHW
2019-05-01,TOR,LAA
2019-05-02,MIN,HOU
2019-05-02,SDP,ATL
2019-05-02,KCR,TBR
2019-05-02,STL,WSN
2019-05-02,COL,MIL
2019-05-02,CIN,NYM
2019-05-02,CHW,BOS
2019-05-02,TOR,LAA
2019-05-03,SDP,LAD
2019-05-03,MIN,NYY
2019-05-03,MIA,ATL
2019-05-03,PIT,OAK
2019-05-03,BAL,TBR
2019-05-03,SEA,CLE
2019-05-03,PHI,WSN
2019-05-03,CHC,STL
2019-05-03,NYM,MIL
2019-05-03,COL,ARI
2019-05-03,CHW,BOS
2019-05-03,TOR,TEX
2019-05-03,CIN,SFG
2019-05-03,DET,KCR
2019-05-04,LAA,HOU
2019-05-04,SDP,LAD
2019-05-04,MIN,NYY
2019-05-04,MIA,ATL
2019-05-04,PIT,OAK
2019-05-04,BAL,TBR
2019-05-04,SEA,CLE
2019-05-04,PHI,WSN
2019-05-04,CHC,STL
2019-05-04,NYM,MIL
2019-05-04,COL,ARI
2019-05-04,CHW,BOS
2019-05-04,TOR,TEX
2019-05-04,CIN,SFG
2019-05-04,DET,KCR
2019-05-05,LAA,HOU
2019-05-05,SDP,LAD
2019-05-05,MIN,NYY
