attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,home,road,home_team_runs,road_team_runs,team,cum_runs_scored,cum_runs_allowed,ytd_rd,winning_team,league_home_team_runs
,ATL/ATL202008020,"Sunday, Aug 2",2020-08-02,1,Day,10,3:06,-1.5,9,Home,Peterson,NYM,1,7-3,Win,0,4,,+++++,Matzek,ATL,NYM,4,0,Atlanta Braves,57,40,1.7,ATL,
,ATL/ATL202008030,"Monday, Aug 3",2020-08-03,1,Night,11,3:16,-1.0,9,Home,Soroka,NYM,1,7-4,Loss,7,2,,-,deGrom,ATL,NYM,2,7,Atlanta Braves,59,47,1.0909090909090908,NYM,
,ATL/ATL202008040,"Tuesday, Aug 4",2020-08-04,1,Night,12,3:06,-1.0,9,Home,Shoemaker,TOR,1,8-4,Win,1,10,,+,Fried,ATL,TOR,10,1,Atlanta Braves,69,48,1.75,ATL,
,ATL/ATL202008050,"Wednesday, Aug 5",2020-08-05,1,Night,13,3:00,0.5,9,Home,Newcomb,TOR,2,8-5,Loss,2,1,Bass,-,Ryu,ATL,TOR,1,2,Atlanta Braves,70,50,1.5384615384615385,TOR,
,ATL/ATL202008060,"Thursday, Aug 6",2020-08-06,1,Night,14,2:37,0.5,9,Home,Font,TOR,2,9-5,Loss,3,4,,+,Melancon,ATL,TOR,4,3,Atlanta Braves,74,53,1.5,TOR,
,PHI/PHI202008080,"Saturday, Aug 8",2020-08-08,1,Night,15,2:31,1.0,9,Away,Wright,PHI,2,9-6,Loss,5,0,,-,Arrieta,PHI,ATL,5,0,Atlanta Braves,74,58,1.0666666666666667,PHI,
,PHI/PHI202008091,"Sunday, Aug 9 (1)",2020-08-09,1,Day,16,2:59,-0.5,7,Away,Guerra,PHI,1,10-6,Win,2,5,Melancon,+,Matzek,PHI,ATL,2,5,Atlanta Braves,79,60,1.1875,ATL,
,PHI/PHI202008092,"Sunday, Aug 9 (2)",2020-08-09,2,Day,17,2:29,-0.5,7,Away,Howard,PHI,1,11-6,Win,0,8,,++,Fried,PHI,ATL,0,8,Atlanta Braves,87,60,1.588235294117647,ATL,
,PHI/PHI202008100,"Monday, Aug 10",2020-08-10,1,Night,18,2:54,0.0,9,Away,Newcomb,PHI,1,11-7,Loss,13,8,,-,Nola,PHI,ATL,13,8,Atlanta Braves,95,73,1.2222222222222223,PHI,
,NYA/NYA202008110,"Tuesday, Aug 11",2020-08-11,1,Night,19,3:18,0.0,9,Away,Toussaint,NYY,1,11-8,Loss,9,6,Britton,--,Montgomery,NYY,ATL,9,6,Atlanta Braves,101,82,1.0,NYY,
,NYA/NYA202008120,"Wednesday, Aug 12",2020-08-12,1,Night,20,3:40,1.0,9,Away,Matzek,NYY,2,11-9,Loss,6,3,Britton,---,Loaisiga,NYY,ATL,6,3,Atlanta Braves,104,88,0.8,NYY,
,MIA/MIA202008140,"Friday, Aug 14",2020-08-14,1,Night,21,2:59,2.0,9,Away,Wright,MIA,2,11-10,Loss,8,2,,----,Lopez,MIA,ATL,8,2,Atlanta Braves,106,96,0.47619047619047616,MIA,
,MIA/MIA202008150,"Saturday, Aug 15",2020-08-15,1,Night,22,2:59,1.0,9,Away,Kintzler,MIA,2,12-10,Win,1,2,Melancon,+,Smith,MIA,ATL,1,2,Atlanta Braves,108,97,0.5,ATL,
,MIA/MIA202008160,"Sunday, Aug 16",2020-08-16,1,Day,23,2:58,0.0,9,Away,Vincent,MIA,1,13-10,Win,0,4,,++,O'Day,MIA,ATL,0,4,Atlanta Braves,112,97,0.6521739130434783,ATL,
,ATL/ATL202008170,"Monday, Aug 17",2020-08-17,1,Night,24,3:35,-1.0,9,Home,Hudson,WSN,1,14-10,Loss,6,7,,+++,Smith,ATL,WSN,7,6,Atlanta Braves,119,103,0.6666666666666666,WSN,
