attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,home,road,home_team_runs,road_team_runs,team,cum_runs_scored,cum_runs_allowed,ytd_rd,winning_team,league_home_team_runs
,LAN/LAN202007230,"Thursday, Jul 23",2020-07-23,1,Night,1,2:56,-0.5,9,Home,Rogers,SFG,1,1-0,Win,1,8,,+,Kolarek,LAD,SFG,8,1,Los Angeles Dodgers,8,1,7.0,LAD,
,LAN/LAN202007240,"Friday, Jul 24",2020-07-24,1,Night,2,2:55,-0.5,9,Home,Anderson,SFG,1,2-0,Win,1,9,,++,Stripling,LAD,SFG,9,1,Los Angeles Dodgers,17,2,7.5,LAD,
,LAN/LAN202007250,"Saturday, Jul 25",2020-07-25,1,Day,3,3:16,0.5,9,Home,Wood,SFG,2,2-1,Loss,5,4,Gott,-,Baragar,LAD,SFG,4,5,Los Angeles Dodgers,21,7,4.666666666666667,SFG,
,LAN/LAN202007260,"Sunday, Jul 26",2020-07-26,1,Night,4,3:28,0.5,9,Home,Graterol,SFG,3,2-2,Loss,3,1,Gott,--,Peralta,LAD,SFG,1,3,Los Angeles Dodgers,22,10,3.0,SFG,
,HOU/HOU202007280,"Tuesday, Jul 28",2020-07-28,1,Night,5,3:19,1.0,9,Away,Valdez,HOU,3,3-2,Win,2,5,Jansen,+,Kolarek,HOU,LAD,2,5,Los Angeles Dodgers,27,12,3.0,LAD,
,HOU/HOU202007290,"Wednesday, Jul 29",2020-07-29,1,Night,6,4:44,0.5,13,Away,Sneed,HOU,2,4-2,Win,2,4,,++,Santana,HOU,LAD,2,4,Los Angeles Dodgers,31,14,2.8333333333333335,LAD,
,ARI/ARI202007300,"Thursday, Jul 30",2020-07-30,1,Night,7,3:19,0.0,9,Away,Ray,ARI,1,5-2,Win,3,6,Baez,+++,Stripling,ARI,LAD,3,6,Los Angeles Dodgers,37,17,2.857142857142857,LAD,
,ARI/ARI202007310,"Friday, Jul 31",2020-07-31,1,Night,8,3:15,1.0,9,Away,Treinen,ARI,2,5-3,Loss,5,3,Bradley,-,Rondon,ARI,LAD,5,3,Los Angeles Dodgers,40,22,2.25,ARI,
,ARI/ARI202008010,"Saturday, Aug 1",2020-08-01,1,Night,9,2:49,0.0,9,Away,Weaver,ARI,1,6-3,Win,2,11,,+,Urias,ARI,LAD,2,11,Los Angeles Dodgers,51,24,3.0,LAD,
,ARI/ARI202008020,"Sunday, Aug 2",2020-08-02,1,Day,10,2:56,0.0,9,Away,Kelly,ARI,1,7-3,Win,0,3,Jansen,++,Kershaw,ARI,LAD,0,3,Los Angeles Dodgers,54,24,3.0,LAD,
