attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,team
31628,SFN/SFN201908060,"Tuesday, Aug 6",2019-08-06,1,Night,113,2:45,6.0,9,Away,Menez,SFG,2,60-53,Win,3,5,Doolittle,++,Sanchez,WSN
30958,SFN/SFN201908070,"Wednesday, Aug 7",2019-08-07,1,Day,114,2:59,6.0,9,Away,Anderson,SFG,2,61-53,Win,1,4,,+++,Ross,WSN
39602,NYN/NYN201908090,"Friday, Aug 9",2019-08-09,1,Night,115,3:20,6.5,9,Away,Doolittle,NYM,2,61-54,Loss,7,6,,-,Avilan,WSN
43875,NYN/NYN201908100,"Saturday, Aug 10",2019-08-10,1,Night,116,2:34,6.5,9,Away,Rodney,NYM,2,61-55,Loss,4,3,,--,Lugo,WSN
41000,NYN/NYN201908110,"Sunday, Aug 11",2019-08-11,1,Day,117,3:35,6.5,9,Away,Gsellman,NYM,2,62-55,Win,4,7,Doolittle,+,Grace,WSN
22394,WAS/WAS201908120,"Monday, Aug 12",2019-08-12,1,Night,118,3:11,6.0,9,Home,DeSclafani,CIN,2,63-55,Win,6,7,Doolittle,++,Fedde,WSN
30130,WAS/WAS201908130,"Tuesday, Aug 13",2019-08-13,1,Night,119,2:38,6.0,9,Home,Wood,CIN,2,64-55,Win,1,3,Hudson,+++,Ross,WSN
23596,WAS/WAS201908140,"Wednesday, Aug 14",2019-08-14,1,Day,120,3:38,6.0,9,Home,Bauer,CIN,2,65-55,Win,7,17,Guerra,++++,Strasburg,WSN
30091,WAS/WAS201908160,"Friday, Aug 16",2019-08-16,1,Night,121,3:00,4.5,9,Home,Guerra,MIL,2,66-55,Win,1,2,Doolittle,+++++,Strickland,WSN
36953,WAS/WAS201908170,"Saturday, Aug 17",2019-08-17,1,Night,122,5:40,5.5,14,Home,Guerra,MIL,2,66-56,Loss,15,14,,-,Guerra,WSN
30571,WAS/WAS201908180,"Sunday, Aug 18",2019-08-18,1,Day,123,3:24,5.5,9,Home,Anderson,MIL,2,67-56,Win,8,16,,+,Fedde,WSN
11284,PIT/PIT201908190,"Monday, Aug 19",2019-08-19,1,Night,124,3:16,5.0,9,Away,Williams,PIT,2,68-56,Win,0,13,,++,Guerra,WSN
10449,PIT/PIT201908200,"Tuesday, Aug 20",2019-08-20,1,Night,125,3:00,6.0,9,Away,Suero,PIT,2,68-57,Loss,4,1,,-,Vazquez,WSN
10577,PIT/PIT201908210,"Wednesday, Aug 21",2019-08-21,1,Night,126,2:54,6.0,9,Away,Musgrove,PIT,2,69-57,Win,1,11,,+,Corbin,WSN
10587,PIT/PIT201908220,"Thursday, Aug 22",2019-08-22,1,Night,127,3:19,6.0,9,Away,Brault,PIT,2,70-57,Win,1,7,,++,Strickland,WSN
39889,CHN/CHN201908230,"Friday, Aug 23",2019-08-23,1,Day,128,3:10,6.0,9,Away,Lester,CHC,2,71-57,Win,3,9,,+++,Sanchez,WSN
40658,CHN/CHN201908240,"Saturday, Aug 24",2019-08-24,1,Day,129,3:56,6.0,9,Away,Quintana,CHC,2,72-57,Win,2,7,,++++,Suero,WSN
40518,CHN/CHN201908250,"Sunday, Aug 25",2019-08-25,1,Day,130,4:35,6.0,11,Away,Chatwood,CHC,2,73-57,Win,5,7,,+++++,Hudson,WSN
24946,WAS/WAS201908270,"Tuesday, Aug 27",2019-08-27,1,Night,131,2:52,5.5,9,Home,Corbin,BAL,2,73-58,Loss,2,0,Givens,-,Brooks,WSN
25174,WAS/WAS201908280,"Wednesday, Aug 28",2019-08-28,1,Night,132,3:12,5.5,9,Home,Wojciechowski,BAL,2,74-58,Win,4,8,,+,Suero,WSN
26201,WAS/WAS201908300,"Friday, Aug 30",2019-08-30,1,Night,133,3:35,5.5,9,Home,Stanek,MIA,2,75-58,Loss,6,7,,++,Hudson,WSN
27539,WAS/WAS201908310,"Saturday, Aug 31",2019-08-31,1,Night,134,2:31,5.5,9,Home,Lopez,MIA,2,76-58,Win,0,7,,+++,Strasburg,WSN
29345,WAS/WAS201909010,"Sunday, Sep 1",2019-09-01,1,Day,135,2:46,5.5,9,Home,Smith,MIA,2,77-58,Win,3,9,,++++,Corbin,WSN
25329,WAS/WAS201909020,"Monday, Sep 2",2019-09-02,1,Day,136,3:08,6.5,9,Home,Ross,NYM,2,77-59,Loss,7,3,,-,Syndergaard,WSN
20759,WAS/WAS201909030,"Tuesday, Sep 3",2019-09-03,1,Night,137,3:17,6.5,9,Home,Diaz,NYM,2,78-59,Loss,10,11,,+,Guerra,WSN
20237,WAS/WAS201909040,"Wednesday, Sep 4",2019-09-04,1,Day,138,3:24,7.0,9,Home,Sanchez,NYM,2,78-60,Loss,8,4,,-,Wheeler,WSN
28831,ATL/ATL201909050,"Thursday, Sep 5",2019-09-05,1,Night,139,2:57,8.0,9,Away,Strasburg,ATL,2,78-61,Loss,4,2,,--,Fried,WSN
37181,ATL/ATL201909060,"Friday, Sep 6",2019-09-06,1,Night,140,3:20,9.0,9,Away,Corbin,ATL,2,78-62,Loss,4,3,Greene,---,Keuchel,WSN
40467,ATL/ATL201909070,"Saturday, Sep 7",2019-09-07,1,Night,141,3:29,10.0,9,Away,Voth,ATL,2,78-63,Loss,5,4,Melancon,----,Teheran,WSN
31789,ATL/ATL201909080,"Sunday, Sep 8",2019-09-08,1,Day,142,3:16,9.0,9,Away,Soroka,ATL,2,79-63,Win,4,9,,+,Scherzer,WSN
24813,MIN/MIN201909100,"Tuesday, Sep 10",2019-09-10,1,Night,143,2:32,9.5,9,Away,Sanchez,MIN,2,79-64,Loss,5,0,,-,Berrios,WSN
20062,MIN/MIN201909110,"Wednesday, Sep 11",2019-09-11,1,Night,144,3:12,9.5,9,Away,Perez,MIN,2,80-64,Win,2,6,,+,Strasburg,WSN
19167,MIN/MIN201909120,"Thursday, Sep 12",2019-09-12,1,Night,145,3:45,8.5,9,Away,Gibson,MIN,2,81-64,Win,6,12,,++,Corbin,WSN
39730,WAS/WAS201909130,"Friday, Sep 13",2019-09-13,1,Night,146,3:16,9.5,9,Home,Scherzer,ATL,2,81-65,Loss,5,0,,-,Soroka,WSN
39664,WAS/WAS201909140,"Saturday, Sep 14",2019-09-14,1,Day,147,3:29,10.5,9,Home,Suero,ATL,2,81-66,Loss,10,1,,--,Foltynewicz,WSN
29350,WAS/WAS201909150,"Sunday, Sep 15",2019-09-15,1,Day,148,3:03,9.5,9,Home,Fried,ATL,2,82-66,Win,0,7,,+,Sanchez,WSN
42812,SLN/SLN201909160,"Monday, Sep 16",2019-09-16,1,Night,149,3:04,10.0,9,Away,Doolittle,STL,2,82-67,Loss,4,2,Martinez,-,Hudson,WSN
44061,SLN/SLN201909170,"Tuesday, Sep 17",2019-09-17,1,Night,150,3:21,9.0,9,Away,Mikolas,STL,2,83-67,Win,2,6,Hudson,+,Corbin,WSN
37669,SLN/SLN201909180,"Wednesday, Sep 18",2019-09-18,1,Day,151,2:55,9.0,9,Away,Scherzer,STL,2,83-68,Loss,5,1,Martinez,-,Wainwright,WSN
12775,MIA/MIA201909200,"Friday, Sep 20",2019-09-20,1,Night,152,3:13,9.5,9,Away,Dugger,MIA,2,84-68,Win,4,6,Hudson,+,Sanchez,WSN
18085,MIA/MIA201909210,"Saturday, Sep 21",2019-09-21,1,Night,153,4:20,9.5,10,Away,Urena,MIA,2,85-68,Win,4,10,,++,Suero,WSN
19709,MIA/MIA201909220,"Sunday, Sep 22",2019-09-22,1,Day,154,3:13,9.5,9,Away,Suero,MIA,2,85-69,Loss,5,3,Brigham,-,Garcia,WSN
19788,WAS/WAS201909230,"Monday, Sep 23",2019-09-23,1,Night,155,3:19,9.0,9,Home,Eflin,PHI,2,86-69,Win,2,7,,+,Corbin,WSN
23442,WAS/WAS201909241,"Tuesday, Sep 24 (1)",2019-09-24,1,Day,156,3:07,7.5,9,Home,Vincent,PHI,2,87-69,Win,1,4,Hudson,++,Rainey,WSN
22214,WAS/WAS201909242,"Tuesday, Sep 24 (2)",2019-09-24,2,Night,157,3:06,7.5,9,Home,Nola,PHI,2,88-69,Win,5,6,Hudson,+++,Scherzer,WSN
22091,WAS/WAS201909250,"Wednesday, Sep 25",2019-09-25,1,Night,158,2:45,7.5,9,Home,Morin,PHI,2,89-69,Win,2,5,Doolittle,++++,Sanchez,WSN
22253,WAS/WAS201909260,"Thursday, Sep 26",2019-09-26,1,Day,159,3:26,7.0,9,Home,Vargas,PHI,2,90-69,Win,3,6,Hudson,+++++,Strasburg,WSN
27434,WAS/WAS201909270,"Friday, Sep 27",2019-09-27,1,Night,160,2:44,6.0,9,Home,Goody,CLE,2,91-69,Win,2,8,,++++++,Voth,WSN
38435,WAS/WAS201909280,"Saturday, Sep 28",2019-09-28,1,Day,161,3:10,5.0,9,Home,Plutko,CLE,2,92-69,Win,7,10,,+++++++,Hudson,WSN
36764,WAS/WAS201909290,"Sunday, Sep 29",2019-09-29,1,Day,162,2:50,4.0,9,Home,Clevinger,CLE,2,93-69,Win,2,8,,++++++++,Ross,WSN
45304,MIL/MIL201903280,"Thursday, Mar 28",2019-03-28,1,Day,1,2:36,1.0,9,Away,Mikolas,MIL,4,0-1,Loss,5,4,Hader,-,Chacin,STL
30157,MIL/MIL201903290,"Friday, Mar 29",2019-03-29,1,Night,2,3:41,0.5,9,Away,Williams,MIL,3,1-1,Win,5,9,,+,Gant,STL
36655,MIL/MIL201903300,"Saturday, Mar 30",2019-03-30,1,Night,3,3:07,1.0,9,Away,Hudson,MIL,4,1-2,Loss,4,2,Hader,-,Woodruff,STL
35042,MIL/MIL201903310,"Sunday, Mar 31",2019-03-31,1,Day,4,2:54,2.0,9,Away,Hicks,MIL,5,1-3,Loss,5,4,,--,Barnes,STL
37336,PIT/PIT201904010,"Monday, Apr 1",2019-04-01,1,Day,5,4:50,2.0,11,Away,Brault,PIT,2,2-3,Win,5,6,Gant,+,Hicks,STL
23954,PIT/PIT201904030,"Wednesday, Apr 3",2019-04-03,1,Night,6,3:30,2.5,10,Away,Burdi,PIT,2,3-3,Win,4,5,Hudson,++,Gant,STL
46615,SLN/SLN201904050,"Friday, Apr 5",2019-04-05,1,Day,7,2:54,3.5,9,Home,Reyes,SDP,3,3-4,Loss,5,3,Yates,-,Stock,STL
44492,SLN/SLN201904060,"Saturday, Apr 6",2019-04-06,1,Day,8,3:37,3.5,9,Home,Miller,SDP,3,3-5,Loss,6,4,Yates,--,Wisler,STL
44340,SLN/SLN201904070,"Sunday, Apr 7",2019-04-07,1,Day,9,3:08,3.5,9,Home,Strahm,SDP,3,4-5,Win,1,4,Hicks,+,Wainwright,STL
35858,SLN/SLN201904080,"Monday, Apr 8",2019-04-08,1,Night,10,2:41,2.5,9,Home,Kelly,LAD,3,5-5,Win,3,4,Hicks,++,Mikolas,STL
36353,SLN/SLN201904090,"Tuesday, Apr 9",2019-04-09,1,Night,11,3:17,1.5,9,Home,Stripling,LAD,2,6-5,Win,0,4,,+++,Brebbia,STL
36244,SLN/SLN201904100,"Wednesday, Apr 10",2019-04-10,1,Night,12,2:52,0.5,9,Home,Maeda,LAD,2,7-5,Win,2,7,,++++,Flaherty,STL
38200,SLN/SLN201904110,"Thursday, Apr 11",2019-04-11,1,Day,13,3:12,0.0,9,Home,Baez,LAD,1,8-5,Win,7,11,,+++++,Gallegos,STL
16886,CIN/CIN201904130,"Saturday, Apr 13",2019-04-13,1,Night,14,3:08,1.5,9,Away,Wainwright,CIN,2,8-6,Loss,5,2,Iglesias,-,Hughes,STL
16793,CIN/CIN201904140,"Sunday, Apr 14",2019-04-14,1,Day,15,3:19,0.5,9,Away,Garrett,CIN,2,9-6,Win,5,9,Hicks,+,Gant,STL
28199,MIL/MIL201904150,"Monday, Apr 15",2019-04-15,1,Night,16,3:51,1.5,9,Away,Mayers,MIL,2,9-7,Loss,10,7,,-,Guerra,STL
30260,MIL/MIL201904160,"Tuesday, Apr 16",2019-04-16,1,Night,17,3:13,2.5,9,Away,Flaherty,MIL,3,9-8,Loss,8,4,,--,Woodruff,STL
29817,MIL/MIL201904170,"Wednesday, Apr 17",2019-04-17,1,Day,18,2:55,1.5,9,Away,Burnes,MIL,3,10-8,Win,3,6,Hicks,+,Wacha,STL
40413,SLN/SLN201904190,"Friday, Apr 19",2019-04-19,1,Night,19,3:31,2.0,9,Home,Wainwright,NYM,3,10-9,Loss,5,4,Diaz,-,Lugo,STL
47059,SLN/SLN201904200,"Saturday, Apr 20",2019-04-20,1,Day,20,2:45,2.0,9,Home,Flexen,NYM,3,11-9,Win,2,10,,+,Mikolas,STL
42765,SLN/SLN201904210,"Sunday, Apr 21",2019-04-21,1,Day,21,3:07,1.0,9,Home,Syndergaard,NYM,2,12-9,Win,4,6,Hicks,++,Hudson,STL
35819,SLN/SLN201904220,"Monday, Apr 22",2019-04-22,1,Night,22,3:12,0.0,9,Home,Houser,MIL,1,13-9,Win,5,13,,+++,Flaherty,STL
38474,SLN/SLN201904230,"Tuesday, Apr 23",2019-04-23,1,Night,23,3:00,-1.0,9,Home,Wilson,MIL,1,14-9,Win,3,4,Hicks,++++,Miller,STL
36878,SLN/SLN201904240,"Wednesday, Apr 24",2019-04-24,1,Day,24,2:51,-2.0,9,Home,Chacin,MIL,1,15-9,Win,2,5,Hicks,+++++,Wainwright,STL
45087,SLN/SLN201904260,"Friday, Apr 26",2019-04-26,1,Night,25,2:55,-2.0,9,Home,Mikolas,CIN,1,15-10,Loss,12,1,,-,DeSclafani,STL
44197,SLN/SLN201904270,"Saturday, Apr 27",2019-04-27,1,Day,26,2:32,-2.0,9,Home,Mahle,CIN,1,16-10,Win,3,6,Hicks,+,Hudson,STL
45701,SLN/SLN201904280,"Sunday, Apr 28",2019-04-28,1,Day,27,2:53,-2.5,9,Home,Gray,CIN,1,17-10,Win,2,5,Gant,++,Flaherty,STL
17890,WAS/WAS201904290,"Monday, Apr 29",2019-04-29,1,Night,28,3:05,-3.0,9,Away,Corbin,WSN,1,18-10,Win,3,6,Hicks,+++,Wacha,STL
19753,WAS/WAS201904300,"Tuesday, Apr 30",2019-04-30,1,Night,29,3:09,-3.0,9,Away,Sanchez,WSN,1,19-10,Win,2,3,Miller,++++,Wainwright,STL
22157,WAS/WAS201905010,"Wednesday, May 1",2019-05-01,1,Night,30,3:02,-3.0,9,Away,Scherzer,WSN,1,20-10,Win,1,5,,+++++,Mikolas,STL
24338,WAS/WAS201905020,"Thursday, May 2",2019-05-02,1,Night,31,3:00,-2.5,9,Away,Hudson,WSN,1,20-11,Loss,2,1,Doolittle,-,Strasburg,STL
34978,CHN/CHN201905030,"Friday, May 3",2019-05-03,1,Day,32,2:28,-1.5,9,Away,Flaherty,CHC,1,20-12,Loss,4,0,,--,Hendricks,STL
39601,CHN/CHN201905040,"Saturday, May 4",2019-05-04,1,Day,33,3:03,-0.5,9,Away,Brebbia,CHC,1,20-13,Loss,6,5,Strop,---,Kintzler,STL
36499,CHN/CHN201905050,"Sunday, May 5",2019-05-05,1,Night,34,3:21,0.5,9,Away,Wainwright,CHC,2,20-14,Loss,13,5,,----,Quintana,STL
38419,SLN/SLN201905060,"Monday, May 6",2019-05-06,1,Night,35,2:52,-0.5,9,Home,Velasquez,PHI,1,21-14,Win,0,6,,+,Mikolas,STL
38562,SLN/SLN201905070,"Tuesday, May 7",2019-05-07,1,Night,36,3:04,0.5,9,Home,Hudson,PHI,2,21-15,Loss,11,1,,-,Nola,STL
42309,SLN/SLN201905080,"Wednesday, May 8",2019-05-08,1,Day,37,2:41,1.5,9,Home,Flaherty,PHI,3,21-16,Loss,5,0,,--,Eickhoff,STL
38925,SLN/SLN201905090,"Thursday, May 9",2019-05-09,1,Night,38,3:30,1.5,9,Home,Musgrove,PIT,3,22-16,Win,4,17,,+,Wacha,STL
45060,SLN/SLN201905100,"Friday, May 10",2019-05-10,1,Night,39,2:54,1.5,9,Home,Miller,PIT,3,22-17,Loss,2,1,Vazquez,-,Williams,STL
43011,SLN/SLN201905110,"Saturday, May 11",2019-05-11,1,Day,40,2:42,2.5,9,Home,Mikolas,PIT,3,22-18,Loss,2,1,Vazquez,--,Lyles,STL
48555,SLN/SLN201905120,"Sunday, May 12",2019-05-12,1,Day,41,3:29,3.5,9,Home,Brebbia,PIT,3,22-19,Loss,10,6,,---,Stratton,STL
23718,ATL/ATL201905140,"Tuesday, May 14",2019-05-14,1,Night,42,3:00,3.5,9,Away,Foltynewicz,ATL,3,23-19,Win,3,14,,+,Flaherty,STL
23367,ATL/ATL201905150,"Wednesday, May 15",2019-05-15,1,Night,43,2:40,3.5,9,Away,Wacha,ATL,3,23-20,Loss,4,0,Jackson,-,Soroka,STL
28783,ATL/ATL201905160,"Thursday, May 16",2019-05-16,1,Night,44,3:16,3.5,9,Away,Wainwright,ATL,3,23-21,Loss,10,2,,--,Teheran,STL
34398,TEX/TEX201905170,"Friday, May 17",2019-05-17,1,Night,45,2:59,4.5,9,Away,Mikolas,TEX,4,23-22,Loss,7,3,,---,Sampson,STL
30967,TEX/TEX201905180,"Saturday, May 18",2019-05-18,1,Night,46,3:14,3.5,9,Away,Jurado,TEX,4,24-22,Win,2,8,,+,Hudson,STL
32112,TEX/TEX201905190,"Sunday, May 19",2019-05-19,1,Day,47,3:41,4.5,10,Away,Hicks,TEX,4,24-23,Loss,5,4,,-,Gomez,STL
42725,SLN/SLN201905221,"Wednesday, May 22 (1)",2019-05-22,1,Day,48,2:44,5.0,9,Home,Wacha,KCR,4,24-24,Loss,8,2,,--,Keller,STL
42529,SLN/SLN201905222,"Wednesday, May 22 (2)",2019-05-22,2,Night,49,3:30,5.0,9,Home,Bailey,KCR,4,25-24,Win,3,10,,+,Wainwright,STL
44630,SLN/SLN201905240,"Friday, May 24",2019-05-24,1,Night,50,2:44,4.5,9,Home,Mikolas,ATL,4,25-25,Loss,5,2,,-,Foltynewicz,STL
45760,SLN/SLN201905250,"Saturday, May 25",2019-05-25,1,Night,51,2:40,4.5,9,Home,Winkler,ATL,3,26-25,Win,3,6,Hicks,+,Miller,STL
45152,SLN/SLN201905260,"Sunday, May 26",2019-05-26,1,Night,52,4:07,4.5,10,Home,Webb,ATL,3,26-26,Loss,4,3,Jackson,-,Webb,STL
29084,PHI/PHI201905280,"Tuesday, May 28",2019-05-28,1,Night,53,2:28,4.0,9,Away,Wainwright,PHI,3,26-27,Loss,4,3,Neris,--,Pivetta,STL
30486,PHI/PHI201905290,"Wednesday, May 29",2019-05-29,1,Night,54,3:01,5.0,9,Away,Cabrera,PHI,4,26-28,Loss,11,4,,---,Nola,STL
31206,PHI/PHI201905300,"Thursday, May 30",2019-05-30,1,Day,55,3:01,4.5,9,Away,Eickhoff,PHI,3,27-28,Win,3,5,Hicks,+,Hudson,STL
45321,SLN/SLN201905310,"Friday, May 31",2019-05-31,1,Night,56,3:24,3.5,10,Home,Montgomery,CHC,3,28-28,Loss,1,2,,++,Hicks,STL
46297,SLN/SLN201906010,"Saturday, Jun 1",2019-06-01,1,Night,57,3:04,3.0,9,Home,Chatwood,CHC,3,29-28,Win,4,7,Martinez,+++,Gant,STL
46053,SLN/SLN201906020,"Sunday, Jun 2",2019-06-02,1,Day,58,2:38,3.0,9,Home,Hamels,CHC,3,30-28,Win,1,2,Gant,++++,Wainwright,STL
40649,SLN/SLN201906040,"Tuesday, Jun 4",2019-06-04,1,Night,59,2:56,3.0,9,Home,Cabrera,CIN,3,30-29,Loss,4,1,Iglesias,-,Castillo,STL
44654,SLN/SLN201906060,"Thursday, Jun 6",2019-06-06,1,Day,60,2:58,2.5,9,Home,Lorenzen,CIN,3,31-29,Win,1,3,Hicks,+,Gant,STL
40671,CHN/CHN201906070,"Friday, Jun 7",2019-06-07,1,Day,61,2:39,3.5,9,Away,Mikolas,CHC,3,31-30,Loss,3,1,Strop,-,Hamels,STL
41005,CHN/CHN201906080,"Saturday, Jun 8",2019-06-08,1,Night,62,3:27,4.5,9,Away,Brebbia,CHC,3,31-31,Loss,9,4,,--,Lester,STL
39545,CHN/CHN201906090,"Sunday, Jun 9",2019-06-09,1,Night,63,2:48,5.5,9,Away,Wainwright,CHC,3,31-32,Loss,5,1,Strop,---,Hendricks,STL
6585,MIA/MIA201906100,"Monday, Jun 10",2019-06-10,1,Night,64,2:49,5.0,9,Away,Alcantara,MIA,3,32-32,Win,1,4,Hicks,+,Wacha,STL
6308,MIA/MIA201906110,"Tuesday, Jun 11",2019-06-11,1,Night,65,3:12,4.0,9,Away,Hernandez,MIA,3,33-32,Win,1,7,,++,Hudson,STL
7001,MIA/MIA201906120,"Wednesday, Jun 12",2019-06-12,1,Night,66,2:34,5.0,9,Away,Mikolas,MIA,3,33-33,Loss,9,0,,-,Yamamoto,STL
31862,NYN/NYN201906130,"Thursday, Jun 13",2019-06-13,1,Night,67,3:02,4.5,10,Away,Diaz,NYM,3,34-33,Win,4,5,Hicks,+,Martinez,STL
28560,NYN/NYN201906140,"Friday, Jun 14",2019-06-14,1,Night,68,3:05,3.5,9,Away,Familia,NYM,3,35-33,Win,5,9,,++,Gant,STL
32589,NYN/NYN201906150,"Saturday, Jun 15",2019-06-15,1,Night,69,3:33,3.5,9,Away,Wacha,NYM,3,35-34,Loss,8,7,Diaz,-,Syndergaard,STL
37054,NYN/NYN201906160,"Sunday, Jun 16",2019-06-16,1,Day,70,3:09,3.5,9,Away,Flexen,NYM,3,36-34,Win,3,4,Martinez,+,Miller,STL
41274,SLN/SLN201906170,"Monday, Jun 17",2019-06-17,1,Night,71,2:39,2.5,9,Home,Hernandez,MIA,3,37-34,Win,0,5,,++,Mikolas,STL
41467,SLN/SLN201906180,"Tuesday, Jun 18",2019-06-18,1,Night,72,2:43,2.5,9,Home,Flaherty,MIA,3,37-35,Loss,6,0,,-,Yamamoto,STL
40126,SLN/SLN201906190,"Wednesday, Jun 19",2019-06-19,1,Night,73,3:34,2.0,11,Home,Conley,MIA,3,38-35,Loss,1,2,,+,Gant,STL
42446,SLN/SLN201906200,"Thursday, Jun 20",2019-06-20,1,Night,74,4:31,3.0,11,Home,Miller,MIA,3,38-36,Loss,7,6,Romo,-,Garcia,STL
48423,SLN/SLN201906210,"Friday, Jun 21",2019-06-21,1,Night,75,3:24,2.0,9,Home,Canning,LAA,3,39-36,Win,1,5,,+,Wacha,STL
46711,SLN/SLN201906220,"Saturday, Jun 22",2019-06-22,1,Day,76,2:59,1.0,9,Home,Pena,LAA,3,40-36,Win,2,4,Webb,++,Hudson,STL
47114,SLN/SLN201906230,"Sunday, Jun 23",2019-06-23,1,Night,77,3:42,2.0,9,Home,Mikolas,LAA,3,40-37,Loss,6,4,,-,Skaggs,STL
40556,SLN/SLN201906250,"Tuesday, Jun 25",2019-06-25,1,Night,78,3:28,2.5,9,Home,Flaherty,OAK,3,40-38,Loss,7,3,,--,Wendelken,STL
44871,SLN/SLN201906260,"Wednesday, Jun 26",2019-06-26,1,Night,79,2:46,2.5,9,Home,Wainwright,OAK,3,40-39,Loss,2,0,Hendriks,---,Mengden,STL
33329,SDN/SDN201906280,"Friday, Jun 28",2019-06-28,1,Night,80,2:49,3.0,9,Away,Wacha,SDP,3,40-40,Loss,3,1,Yates,----,Quantrill,STL
44407,SDN/SDN201906290,"Saturday, Jun 29",2019-06-29,1,Night,81,3:05,4.0,9,Away,Hudson,SDP,3,40-41,Loss,12,2,,-----,Paddack,STL
32575,SDN/SDN201906300,"Sunday, Jun 30",2019-06-30,1,Day,82,4:07,3.0,11,Away,Wieck,SDP,3,41-41,Win,3,5,Leone,+,Martinez,STL
20173,SEA/SEA201907020,"Tuesday, Jul 2",2019-07-02,1,Night,83,3:18,3.5,9,Away,Gallegos,SEA,3,41-42,Loss,5,4,Elias,-,Adams,STL
31876,SEA/SEA201907030,"Wednesday, Jul 3",2019-07-03,1,Night,84,2:58,2.5,9,Away,Adams,SEA,3,42-42,Win,2,5,,+,Brebbia,STL
26673,SEA/SEA201907040,"Thursday, Jul 4",2019-07-04,1,Day,85,2:45,1.5,9,Away,Milone,SEA,3,43-42,Win,4,5,Martinez,++,Ponce de Leon,STL
37603,SFN/SFN201907050,"Friday, Jul 5",2019-07-05,1,Night,86,3:23,1.5,9,Away,Pomeranz,SFG,3,44-42,Win,4,9,,+++,Hudson,STL
32487,SFN/SFN201907060,"Saturday, Jul 6",2019-07-06,1,Night,87,3:13,2.0,9,Away,Mikolas,SFG,3,44-43,Loss,8,4,,-,Dyson,STL
33841,SFN/SFN201907070,"Sunday, Jul 7",2019-07-07,1,Day,88,2:19,2.0,9,Away,Flaherty,SFG,3,44-44,Loss,1,0,Smith,--,Samardzija,STL
44960,SLN/SLN201907120,"Friday, Jul 12",2019-07-12,1,Night,89,2:56,3.0,9,Home,Miller,ARI,3,44-45,Loss,4,2,Holland,---,Ray,STL
46152,SLN/SLN201907130,"Saturday, Jul 13",2019-07-13,1,Night,90,3:04,3.0,9,Home,Kelly,ARI,3,45-45,Win,2,4,Martinez,+,Hudson,STL
43439,SLN/SLN201907140,"Sunday, Jul 14",2019-07-14,1,Day,91,2:52,3.0,9,Home,Greinke,ARI,3,46-45,Win,2,5,Martinez,++,Wainwright,STL
41965,SLN/SLN201907150,"Monday, Jul 15",2019-07-15,1,Night,92,3:00,2.0,9,Home,Musgrove,PIT,2,47-45,Win,0,7,,+++,Mikolas,STL
43777,SLN/SLN201907160,"Tuesday, Jul 16",2019-07-16,1,Night,93,3:04,3.0,9,Home,Martinez,PIT,3,47-46,Loss,3,1,Vazquez,-,Liriano,STL
43186,SLN/SLN201907170,"Wednesday, Jul 17",2019-07-17,1,Day,94,3:11,3.0,9,Home,Liriano,PIT,3,48-46,Win,5,6,Martinez,+,Brebbia,STL
32359,CIN/CIN201907180,"Thursday, Jul 18",2019-07-18,1,Night,95,3:17,2.5,9,Away,Stephenson,CIN,3,49-46,Win,4,7,Miller,++,Hudson,STL
37652,CIN/CIN201907190,"Friday, Jul 19",2019-07-19,1,Night,96,3:49,2.5,9,Away,Hughes,CIN,2,50-46,Win,11,12,Martinez,+++,Wacha,STL
38427,CIN/CIN201907200,"Saturday, Jul 20",2019-07-20,1,Night,97,2:36,3.5,9,Away,Mikolas,CIN,3,50-47,Loss,3,2,Lorenzen,-,Garrett,STL
28763,CIN/CIN201907210,"Sunday, Jul 21",2019-07-21,1,Day,98,3:22,2.5,9,Away,DeSclafani,CIN,3,51-47,Win,1,3,Martinez,+,Gallegos,STL
13096,PIT/PIT201907220,"Monday, Jul 22",2019-07-22,1,Night,99,4:05,1.5,10,Away,Holmes,PIT,2,52-47,Win,5,6,Martinez,++,Shreve,STL
15778,PIT/PIT201907230,"Tuesday, Jul 23",2019-07-23,1,Night,100,2:46,0.5,9,Away,Archer,PIT,2,53-47,Win,3,4,Miller,+++,Hudson,STL
18675,PIT/PIT201907240,"Wednesday, Jul 24",2019-07-24,1,Night,101,3:17,0.5,9,Away,Lyles,PIT,2,54-47,Win,8,14,,++++,Wainwright,STL
24534,PIT/PIT201907250,"Thursday, Jul 25",2019-07-25,1,Day,102,2:45,0.0,9,Away,Musgrove,PIT,1,55-47,Win,3,6,,+++++,Mikolas,STL
44724,SLN/SLN201907260,"Friday, Jul 26",2019-07-26,1,Night,103,3:09,-1.0,9,Home,Pressly,HOU,1,56-47,Win,3,5,Martinez,++++++,Miller,STL
46518,SLN/SLN201907270,"Saturday, Jul 27",2019-07-27,1,Night,104,3:07,-1.0,9,Home,Ponce de Leon,HOU,1,56-48,Loss,8,2,,-,Cole,STL
46714,SLN/SLN201907280,"Sunday, Jul 28",2019-07-28,1,Day,105,3:24,0.0,9,Home,Hudson,HOU,1,56-49,Loss,6,2,,--,Miley,STL
